property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_cat,floor catt,price
Flat,sector 70,2.0,2.0,2,Under Construction,991.0,0,0,0,Low,mid,0.53
Flat,sector 90,3.0,4.0,3,Relatively New,1525.0,1,0,2,Medium,lower,0.86
Flat,sector 84,3.0,3.0,3,Relatively New,1750.0,0,0,0,Medium,mid,1.35
Flat,sector 79,3.0,3.0,3,Relatively New,2161.0,0,0,0,Low,lower,1.45
House,sector 48,4.0,4.0,2,Relatively New,2340.0,1,0,2,Low,lower,5.5
Flat,sector 104,3.0,4.0,3+,Relatively New,2072.0,1,0,0,High,high,1.73
Flat,sector 84,2.0,2.0,3+,Relatively New,2053.0,0,1,0,High,lower,0.73
Flat,sector 67,3.0,3.0,3+,Relatively New,2047.0,0,0,2,High,lower,2.78
House,sector 7,2.0,2.0,No,Old Property,126.0,0,0,0,Low,lower,1.0
Flat,sector 69,4.0,4.0,2,Relatively New,1819.0,0,0,0,Medium,mid,1.68
House,sector 70a,4.0,4.0,3+,Relatively New,6000.0,1,1,2,High,lower,5.35
Flat,sector 70a,3.0,3.0,3+,New Property,1900.0,1,0,0,Medium,mid,1.66
Flat,sector 68,2.0,2.0,2,New Property,1200.0,0,0,0,Low,mid,0.93
Flat,sector 113,3.0,3.0,3+,Under Construction,1696.0,0,0,0,Low,lower,2.51
Flat,sector 84,3.0,3.0,2,Relatively New,1583.0,0,0,0,Medium,mid,1.1
Flat,sector 36a,1.0,1.0,1,Relatively New,452.0,0,0,0,Low,mid,0.45
Flat,sector 3 phase 2,2.0,2.0,1,Relatively New,778.0,0,0,2,Medium,lower,0.55
Flat,manesar,3.0,3.0,3+,Moderately Old,2069.0,1,0,0,Low,mid,0.9
Flat,sector 92,3.0,2.0,2,Relatively New,1261.0,0,0,0,Low,mid,0.85
Flat,sector 81,2.0,2.0,2,Relatively New,664.0,0,1,2,Low,mid,0.45
Flat,sector 81,3.0,4.0,3+,New Property,1900.0,1,0,1,High,high,2.26
Flat,sector 113,3.0,4.0,3+,Relatively New,2350.0,1,0,0,High,mid,2.78
Flat,sector 103,2.0,2.0,2,Relatively New,1221.0,0,0,0,Low,lower,0.9
Flat,sector 61,3.0,3.0,2,Under Construction,1630.0,0,0,0,Low,lower,2.57
Flat,sector 81,3.0,4.0,3+,Relatively New,5025.0,1,0,2,Medium,mid,2.35
Flat,gwal pahari,4.0,5.0,3+,New Property,5248.0,1,0,0,Low,lower,5.25
House,sector 33,5.0,6.0,3+,Relatively New,4680.0,1,0,0,Medium,lower,11.5
Flat,sector 111,2.0,2.0,2,Relatively New,773.0,0,0,0,Medium,mid,0.7
Flat,sector 37d,2.0,2.0,3,New Property,610.0,0,0,0,Medium,lower,0.55
House,sector 4,2.0,3.0,1,Moderately Old,675.0,0,0,0,Low,lower,0.8
Flat,sector 72,3.0,3.0,3,Moderately Old,2307.0,1,0,0,Low,mid,4.1
Flat,sector 81,3.0,4.0,3+,Relatively New,2407.0,1,0,2,High,high,2.22
Flat,sector 79,4.0,5.0,2,New Property,2675.0,1,0,0,Low,lower,2.55
Flat,sector 91,4.0,4.0,3+,Moderately Old,2139.0,1,0,0,Medium,mid,1.65
Flat,sector 68,4.0,4.0,3,New Property,1809.0,0,0,0,Low,lower,1.7
Flat,sector 81,2.0,2.0,1,Relatively New,1225.0,0,0,2,Medium,mid,0.48
House,sector 28,6.0,5.0,3+,New Property,3240.0,1,1,0,High,lower,9.54
Flat,sector 33,3.0,3.0,3,Under Construction,2218.0,1,0,0,Low,lower,1.65
Flat,sector 37d,2.0,2.0,2,Under Construction,860.0,0,0,0,Low,lower,0.8
Flat,sector 65,4.0,3.0,2,Relatively New,3150.0,1,0,0,Low,lower,3.2
Flat,sector 81,2.0,2.0,3,Relatively New,1300.0,0,0,2,Medium,mid,0.87
House,sector 54,9.0,9.0,3,Relatively New,60.0,1,0,1,Low,mid,2.0
Flat,sector 65,3.0,3.0,2,Under Construction,2040.0,1,0,0,Low,high,3.67
Flat,sector 60,3.0,4.0,3+,Moderately Old,2037.0,1,0,2,High,mid,2.65
Flat,sector 111,4.0,5.0,3+,Relatively New,2669.0,1,0,2,Medium,mid,3.4
House,sector 5,6.0,5.0,2,Old Property,2250.0,1,0,1,High,lower,3.5
Flat,sector 37c,3.0,3.0,3,Under Construction,1500.0,0,0,0,Medium,lower,0.9
Flat,sector 76,2.0,2.0,2,Under Construction,823.0,0,0,0,Low,mid,0.55
Flat,sector 82a,4.0,4.0,3+,New Property,4358.0,1,0,1,High,lower,2.85
House,sector 31,4.0,4.0,3+,Moderately Old,1449.0,1,1,2,Low,lower,3.25
Flat,sector 95,2.0,2.0,No,New Property,1516.0,0,0,0,Low,lower,0.27
House,sector 14,5.0,5.0,No,Moderately Old,2500.0,0,0,0,Low,lower,6.5
